gid spike-times
130 59.0,133.0,207.0,278.0,344.0,392.0,468.0,541.0,605.0,678.0,730.0,787.0,848.0,908.0,986.0,1051.0,1110.0,1177.0,1239.0,1298.0,1355.0,1427.0,1480.0,1546.0,1613.0,1671.0,1731.0,1802.0,1865.0,1929.0,1996.0,2070.0,2141.0,2202.0,2267.0,2333.0,2398.0,2465.0,2536.0,2605.0,2684.0,2743.0,2809.0,2882.0,2945.0,3032.0,3087.0,3178.0,3253.0,3318.0,3378.0,3439.0,3509.0,3572.0,3645.0,3698.0,3772.0,3844.0,3898.0,3960.0,4033.0,4102.0,4169.0,4230.0,4304.0,4357.0,4411.0,4490.0,4550.0,4616.0,4673.0,4745.0,4825.0,4889.0,4965.0,5040.0,5110.0,5170.0,5244.0,5302.0,5361.0,5407.0,5474.0,5540.0,5612.0,5673.0,5734.0,5785.0,5853.0,5920.0,5975.0,6048.0,7045.652,8061.652,8167.732,8240.732,8303.732,8371.732,8423.732,8487.732,8559.732,8631.732,8709.732,8776.732,8842.732,8921.732,8989.732,9049.732,9111.732,9172.732,9245.732,9318.732,9394.732,9466.732,9531.732,9592.732,9662.732,9731.732,9794.732,9861.732,9925.732,9986.732
131 71.0,142.0,213.0,273.0,340.0,412.0,482.0,547.0,610.0,658.0,724.0,793.0,858.0,921.0,1003.0,1069.0,1141.0,1206.0,1267.0,1323.0,1376.0,1454.0,1525.0,1602.0,1672.0,1727.0,1789.0,1842.0,1921.0,1984.0,2046.0,2116.0,2190.0,2257.0,2326.0,2393.0,2458.0,2511.0,2579.0,2635.0,2717.0,2786.0,2839.0,2898.0,2958.0,3015.0,3073.0,3130.0,3196.0,3259.0,3327.0,3405.0,3457.0,3526.0,3588.0,3653.0,3729.0,3806.0,3866.0,3940.0,4024.0,4093.0,4154.0,4216.0,4291.0,4362.0,4425.0,4499.0,4575.0,4653.0,4726.0,4800.0,4852.0,4911.0,4983.0,5056.0,5144.0,5216.0,5285.0,5349.0,5420.0,5481.0,5552.0,5614.0,5688.0,5750.0,5831.0,5894.0,5969.0,6035.0,6993.652,8055.652,8167.732,8246.732,8322.732,8404.732,8471.732,8529.732,8602.732,8669.732,8733.732,8802.732,8873.732,8941.732,8999.732,9066.732,9117.732,9187.732,9237.732,9298.732,9357.732,9426.732,9493.732,9568.732,9654.732,9733.732,9797.732,9868.732,9930.732,9993.732
132 66.0,139.0,204.0,269.0,348.0,410.0,488.0,556.0,614.0,692.0,758.0,835.0,897.0,963.0,1047.0,1112.0,1187.0,1248.0,1312.0,1376.0,1441.0,1505.0,1559.0,1628.0,1695.0,1763.0,1829.0,1900.0,1970.0,2035.0,2101.0,2154.0,2228.0,2291.0,2356.0,2411.0,2491.0,2558.0,2614.0,2685.0,2767.0,2845.0,2922.0,2997.0,3058.0,3110.0,3176.0,3242.0,3305.0,3366.0,3430.0,3479.0,3548.0,3625.0,3682.0,3752.0,3828.0,3890.0,3953.0,4018.0,4096.0,4183.0,4246.0,4311.0,4375.0,4428.0,4505.0,4583.0,4647.0,4706.0,4763.0,4821.0,4891.0,4957.0,5030.0,5102.0,5171.0,5243.0,5315.0,5380.0,5465.0,5547.0,5603.0,5668.0,5729.0,5802.0,5867.0,5931.0,5997.0,6058.0,7084.652,8083.652,8176.732,8241.732,8295.732,8352.732,8430.732,8504.732,8563.732,8629.732,8698.732,8748.732,8827.732,8892.732,8967.732,9032.732,9093.732,9173.732,9239.732,9307.732,9374.732,9437.732,9499.732,9557.732,9630.732,9689.732,9762.732,9842.732,9902.732,9954.732
133 78.0,162.0,247.0,302.0,369.0,442.0,505.0,567.0,641.0,701.0,752.0,819.0,886.0,952.0,1023.0,1083.0,1156.0,1205.0,1268.0,1332.0,1383.0,1448.0,1517.0,1598.0,1658.0,1732.0,1796.0,1869.0,1929.0,2005.0,2062.0,2121.0,2195.0,2254.0,2328.0,2394.0,2456.0,2503.0,2571.0,2619.0,2676.0,2738.0,2803.0,2852.0,2921.0,2978.0,3046.0,3104.0,3167.0,3248.0,3314.0,3390.0,3458.0,3522.0,3585.0,3645.0,3718.0,3778.0,3846.0,3910.0,3977.0,4037.0,4109.0,4168.0,4238.0,4309.0,4368.0,4438.0,4516.0,4581.0,4666.0,4739.0,4813.0,4881.0,4933.0,4993.0,5067.0,5132.0,5208.0,5255.0,5316.0,5396.0,5468.0,5543.0,5614.0,5687.0,5759.0,5815.0,5878.0,5943.0,6024.0,6078.0,7059.652,8016.652,8181.732,8247.732,8313.732,8393.732,8456.732,8526.732,8599.732,8670.732,8746.732,8805.732,8862.732,8930.732,8995.732,9060.732,9125.732,9183.732,9233.732,9304.732,9379.732,9449.732,9521.732,9591.732,9651.732,9706.732,9778.732,9850.732,9913.732,9974.732
134 84.0,154.0,222.0,292.0,363.0,431.0,502.0,559.0,622.0,695.0,768.0,833.0,894.0,951.0,1022.0,1097.0,1164.0,1227.0,1301.0,1363.0,1436.0,1503.0,1573.0,1646.0,1712.0,1770.0,1825.0,1899.0,1956.0,2027.0,2102.0,2172.0,2241.0,2319.0,2383.0,2457.0,2520.0,2592.0,2664.0,2744.0,2806.0,2863.0,2936.0,3000.0,3063.0,3135.0,3203.0,3271.0,3335.0,3406.0,3485.0,3543.0,3600.0,3668.0,3739.0,3801.0,3844.0,3911.0,3965.0,4041.0,4122.0,4184.0,4244.0,4323.0,4398.0,4455.0,4532.0,4597.0,4673.0,4742.0,4797.0,4873.0,4934.0,4974.0,5056.0,5118.0,5177.0,5248.0,5313.0,5376.0,5457.0,5531.0,5585.0,5642.0,5700.0,5771.0,5843.0,5917.0,5983.0,6049.0,7026.652,7979.652,8182.732,8255.732,8318.732,8377.732,8456.732,8531.732,8603.732,8673.732,8727.732,8802.732,8877.732,8942.732,8989.732,9053.732,9104.732,9169.732,9228.732,9289.732,9362.732,9414.732,9492.732,9570.732,9634.732,9709.732,9762.732,9841.732,9907.732,9994.732
135 65.0,139.0,217.0,293.0,370.0,444.0,514.0,574.0,642.0,695.0,772.0,851.0,923.0,981.0,1045.0,1102.0,1162.0,1226.0,1291.0,1362.0,1431.0,1510.0,1569.0,1638.0,1700.0,1785.0,1858.0,1939.0,2004.0,2090.0,2146.0,2199.0,2272.0,2348.0,2421.0,2493.0,2552.0,2626.0,2690.0,2757.0,2811.0,2887.0,2950.0,3004.0,3071.0,3126.0,3195.0,3244.0,3309.0,3384.0,3452.0,3518.0,3596.0,3667.0,3730.0,3787.0,3848.0,3902.0,3961.0,4030.0,4107.0,4184.0,4238.0,4303.0,4374.0,4439.0,4514.0,4577.0,4638.0,4693.0,4766.0,4813.0,4890.0,4948.0,5000.0,5072.0,5145.0,5208.0,5267.0,5323.0,5395.0,5466.0,5519.0,5585.0,5650.0,5720.0,5791.0,5854.0,5925.0,5997.0,6078.0,7079.652,8103.652,8170.732,8237.732,8303.732,8367.732,8435.732,8511.732,8586.732,8657.732,8729.732,8798.732,8864.732,8928.732,8977.732,9046.732,9110.732,9189.732,9246.732,9313.732,9382.732,9457.732,9531.732,9611.732,9669.732,9741.732,9809.732,9884.732,9954.732
136 58.0,128.0,202.0,255.0,315.0,382.0,443.0,529.0,605.0,669.0,739.0,813.0,892.0,970.0,1038.0,1111.0,1172.0,1249.0,1302.0,1369.0,1431.0,1490.0,1544.0,1607.0,1673.0,1734.0,1797.0,1868.0,1938.0,2025.0,2085.0,2145.0,2221.0,2296.0,2375.0,2433.0,2511.0,2579.0,2648.0,2707.0,2782.0,2855.0,2917.0,2973.0,3025.0,3092.0,3161.0,3231.0,3303.0,3360.0,3435.0,3510.0,3578.0,3643.0,3699.0,3751.0,3818.0,3888.0,3960.0,4030.0,4095.0,4165.0,4210.0,4282.0,4358.0,4420.0,4487.0,4539.0,4586.0,4651.0,4717.0,4795.0,4857.0,4922.0,4985.0,5039.0,5109.0,5171.0,5230.0,5305.0,5367.0,5422.0,5491.0,5557.0,5639.0,5712.0,5782.0,5839.0,5911.0,5974.0,6050.0,7101.652,8085.652,8176.732,8255.732,8325.732,8394.732,8459.732,8524.732,8594.732,8653.732,8730.732,8785.732,8837.732,8906.732,8969.732,9020.732,9081.732,9146.732,9210.732,9269.732,9322.732,9391.732,9466.732,9531.732,9605.732,9669.732,9744.732,9822.732,9903.732,9966.732
137 67.0,143.0,224.0,292.0,359.0,416.0,459.0,520.0,575.0,639.0,715.0,787.0,855.0,905.0,984.0,1045.0,1091.0,1155.0,1214.0,1283.0,1345.0,1420.0,1502.0,1545.0,1616.0,1683.0,1746.0,1818.0,1890.0,1946.0,2005.0,2073.0,2137.0,2205.0,2283.0,2352.0,2425.0,2500.0,2562.0,2634.0,2690.0,2756.0,2819.0,2889.0,2958.0,3044.0,3102.0,3178.0,3248.0,3324.0,3386.0,3460.0,3524.0,3585.0,3640.0,3707.0,3793.0,3855.0,3921.0,3985.0,4041.0,4104.0,4185.0,4255.0,4332.0,4386.0,4453.0,4531.0,4588.0,4644.0,4722.0,4791.0,4851.0,4918.0,4996.0,5055.0,5109.0,5174.0,5242.0,5324.0,5388.0,5448.0,5512.0,5569.0,5628.0,5694.0,5770.0,5861.0,5925.0,5996.0,6065.0,7027.652,8062.652,8178.732,8254.732,8319.732,8380.732,8447.732,8519.732,8574.732,8635.732,8708.732,8767.732,8831.732,8903.732,8976.732,9031.732,9091.732,9156.732,9230.732,9284.732,9358.732,9429.732,9485.732,9564.732,9628.732,9695.732,9756.732,9822.732,9890.732,9956.732
138 69.0,149.0,209.0,279.0,343.0,407.0,488.0,560.0,623.0,688.0,763.0,825.0,888.0,943.0,1003.0,1071.0,1141.0,1216.0,1283.0,1349.0,1433.0,1507.0,1593.0,1658.0,1720.0,1782.0,1840.0,1897.0,1953.0,2020.0,2087.0,2156.0,2231.0,2312.0,2374.0,2439.0,2490.0,2560.0,2613.0,2682.0,2757.0,2821.0,2888.0,2944.0,3012.0,3085.0,3155.0,3222.0,3287.0,3344.0,3417.0,3483.0,3541.0,3606.0,3668.0,3732.0,3800.0,3875.0,3933.0,4010.0,4074.0,4129.0,4193.0,4265.0,4340.0,4398.0,4448.0,4510.0,4578.0,4657.0,4719.0,4772.0,4845.0,4909.0,4977.0,5038.0,5111.0,5180.0,5257.0,5323.0,5388.0,5453.0,5514.0,5573.0,5644.0,5710.0,5769.0,5822.0,5888.0,5956.0,6028.0,7064.652,8037.652,8186.732,8259.732,8322.732,8399.732,8458.732,8515.732,8577.732,8627.732,8701.732,8770.732,8829.732,8882.732,8959.732,9027.732,9086.732,9150.732,9213.732,9270.732,9334.732,9411.732,9482.732,9549.732,9627.732,9695.732,9760.732,9814.732,9889.732,9955.732
139 75.0,151.0,209.0,286.0,354.0,428.0,508.0,579.0,660.0,721.0,794.0,850.0,901.0,970.0,1037.0,1107.0,1169.0,1238.0,1332.0,1409.0,1485.0,1561.0,1618.0,1681.0,1753.0,1822.0,1894.0,1955.0,2030.0,2105.0,2172.0,2238.0,2305.0,2365.0,2413.0,2476.0,2557.0,2626.0,2687.0,2778.0,2837.0,2904.0,2962.0,3039.0,3104.0,3168.0,3234.0,3286.0,3370.0,3444.0,3516.0,3586.0,3646.0,3712.0,3781.0,3846.0,3925.0,3990.0,4055.0,4133.0,4191.0,4275.0,4335.0,4407.0,4479.0,4563.0,4628.0,4695.0,4773.0,4844.0,4915.0,4983.0,5048.0,5110.0,5163.0,5229.0,5293.0,5363.0,5437.0,5487.0,5552.0,5616.0,5677.0,5762.0,5846.0,5915.0,5980.0,6058.0,7051.652,8035.652,8174.732,8236.732,8302.732,8349.732,8406.732,8479.732,8539.732,8614.732,8678.732,8753.732,8812.732,8872.732,8934.732,9003.732,9059.732,9129.732,9205.732,9284.732,9340.732,9403.732,9470.732,9537.732,9607.732,9691.732,9767.732,9829.732,9906.732,9975.732
140 73.0,140.0,211.0,287.0,372.0,425.0,487.0,558.0,620.0,685.0,762.0,831.0,899.0,958.0,1025.0,1091.0,1148.0,1219.0,1294.0,1358.0,1419.0,1482.0,1545.0,1626.0,1691.0,1752.0,1813.0,1873.0,1958.0,2024.0,2086.0,2147.0,2213.0,2282.0,2355.0,2440.0,2507.0,2565.0,2625.0,2683.0,2756.0,2816.0,2888.0,2952.0,3021.0,3087.0,3149.0,3220.0,3282.0,3350.0,3420.0,3483.0,3561.0,3625.0,3698.0,3778.0,3847.0,3919.0,3983.0,4055.0,4122.0,4179.0,4246.0,4308.0,4373.0,4437.0,4504.0,4577.0,4642.0,4711.0,4780.0,4843.0,4902.0,4969.0,5054.0,5121.0,5192.0,5268.0,5344.0,5434.0,5516.0,5573.0,5654.0,5717.0,5785.0,5851.0,5928.0,5998.0,6055.0,7125.652,8158.732,8242.732,8315.732,8377.732,8444.732,8517.732,8576.732,8635.732,8702.732,8765.732,8830.732,8895.732,8964.732,9012.732,9072.732,9148.732,9215.732,9272.732,9348.732,9410.732,9467.732,9541.732,9600.732,9663.732,9737.732,9800.732,9876.732,9934.732,9992.732
141 58.0,126.0,197.0,266.0,330.0,390.0,471.0,541.0,610.0,681.0,749.0,807.0,885.0,944.0,1003.0,1065.0,1120.0,1185.0,1250.0,1306.0,1371.0,1438.0,1497.0,1554.0,1621.0,1687.0,1762.0,1838.0,1903.0,1973.0,2040.0,2112.0,2172.0,2227.0,2300.0,2361.0,2414.0,2486.0,2537.0,2619.0,2694.0,2769.0,2838.0,2916.0,2984.0,3060.0,3133.0,3194.0,3247.0,3309.0,3388.0,3444.0,3528.0,3582.0,3652.0,3714.0,3765.0,3824.0,3895.0,3957.0,4022.0,4086.0,4167.0,4233.0,4288.0,4358.0,4416.0,4478.0,4538.0,4609.0,4674.0,4731.0,4782.0,4843.0,4906.0,4968.0,5025.0,5083.0,5150.0,5217.0,5287.0,5359.0,5433.0,5514.0,5574.0,5649.0,5718.0,5790.0,5868.0,5928.0,6000.0,6054.0,7080.652,8067.652,8176.732,8238.732,8296.732,8344.732,8419.732,8492.732,8560.732,8629.732,8686.732,8757.732,8826.732,8901.732,8961.732,9025.732,9079.732,9149.732,9217.732,9283.732,9349.732,9415.732,9479.732,9551.732,9614.732,9687.732,9764.732,9824.732,9888.732,9972.732
142 68.0,143.0,198.0,253.0,307.0,368.0,429.0,487.0,560.0,634.0,701.0,775.0,837.0,893.0,953.0,1014.0,1083.0,1152.0,1219.0,1290.0,1351.0,1421.0,1491.0,1543.0,1603.0,1669.0,1737.0,1813.0,1874.0,1932.0,1995.0,2065.0,2117.0,2192.0,2260.0,2314.0,2383.0,2450.0,2511.0,2577.0,2640.0,2689.0,2749.0,2800.0,2875.0,2951.0,3025.0,3106.0,3165.0,3239.0,3297.0,3358.0,3431.0,3500.0,3561.0,3629.0,3684.0,3761.0,3837.0,3902.0,3967.0,4030.0,4105.0,4168.0,4228.0,4284.0,4348.0,4417.0,4487.0,4566.0,4634.0,4702.0,4776.0,4840.0,4907.0,4974.0,5044.0,5122.0,5197.0,5268.0,5344.0,5403.0,5472.0,5539.0,5610.0,5685.0,5768.0,5844.0,5926.0,5984.0,6060.0,7106.652,8099.652,8160.732,8230.732,8302.732,8358.732,8425.732,8499.732,8573.732,8646.732,8711.732,8770.732,8840.732,8893.732,8963.732,9042.732,9118.732,9194.732,9270.732,9327.732,9389.732,9462.732,9522.732,9576.732,9644.732,9709.732,9777.732,9847.732,9907.732,9976.732
143 62.0,125.0,198.0,267.0,333.0,406.0,475.0,539.0,619.0,715.0,787.0,850.0,913.0,966.0,1032.0,1104.0,1185.0,1254.0,1306.0,1379.0,1441.0,1503.0,1578.0,1648.0,1718.0,1793.0,1856.0,1913.0,1983.0,2054.0,2125.0,2198.0,2255.0,2320.0,2377.0,2439.0,2489.0,2553.0,2607.0,2684.0,2764.0,2833.0,2898.0,2961.0,3019.0,3081.0,3146.0,3216.0,3287.0,3381.0,3448.0,3517.0,3577.0,3635.0,3712.0,3773.0,3832.0,3899.0,3961.0,4025.0,4095.0,4162.0,4231.0,4306.0,4376.0,4437.0,4499.0,4567.0,4631.0,4691.0,4754.0,4813.0,4890.0,4953.0,5016.0,5084.0,5143.0,5202.0,5264.0,5332.0,5399.0,5455.0,5519.0,5575.0,5647.0,5721.0,5789.0,5862.0,5936.0,6004.0,6077.0,7093.652,8071.652,8153.732,8207.732,8266.732,8342.732,8404.732,8477.732,8545.732,8619.732,8686.732,8763.732,8832.732,8910.732,8970.732,9046.732,9116.732,9176.732,9249.732,9306.732,9350.732,9409.732,9466.732,9539.732,9616.732,9689.732,9746.732,9809.732,9860.732,9921.732,9992.732
144 77.0,145.0,215.0,273.0,340.0,404.0,473.0,534.0,629.0,695.0,770.0,823.0,884.0,944.0,1022.0,1084.0,1153.0,1216.0,1286.0,1339.0,1396.0,1461.0,1530.0,1595.0,1655.0,1724.0,1795.0,1872.0,1929.0,1993.0,2063.0,2133.0,2200.0,2246.0,2321.0,2368.0,2433.0,2508.0,2564.0,2627.0,2689.0,2746.0,2815.0,2892.0,2949.0,3014.0,3077.0,3145.0,3210.0,3295.0,3359.0,3428.0,3497.0,3553.0,3626.0,3693.0,3758.0,3831.0,3892.0,3963.0,4034.0,4103.0,4167.0,4211.0,4263.0,4323.0,4393.0,4447.0,4507.0,4572.0,4640.0,4714.0,4796.0,4862.0,4934.0,5002.0,5068.0,5139.0,5193.0,5254.0,5320.0,5387.0,5469.0,5532.0,5600.0,5666.0,5736.0,5808.0,5874.0,5933.0,5981.0,6060.0,7097.652,8174.732,8238.732,8321.732,8378.732,8442.732,8497.732,8567.732,8628.732,8697.732,8779.732,8833.732,8888.732,8944.732,8998.732,9065.732,9144.732,9215.732,9271.732,9331.732,9400.732,9454.732,9526.732,9599.732,9688.732,9759.732,9833.732,9896.732,9980.732
145 75.0,130.0,198.0,261.0,320.0,389.0,457.0,527.0,608.0,677.0,739.0,802.0,867.0,923.0,989.0,1051.0,1133.0,1202.0,1262.0,1323.0,1395.0,1456.0,1512.0,1563.0,1641.0,1703.0,1767.0,1819.0,1895.0,1964.0,2027.0,2109.0,2192.0,2251.0,2329.0,2405.0,2485.0,2550.0,2609.0,2693.0,2762.0,2828.0,2876.0,2944.0,3024.0,3095.0,3167.0,3237.0,3321.0,3380.0,3448.0,3508.0,3568.0,3642.0,3709.0,3779.0,3853.0,3925.0,3987.0,4046.0,4112.0,4188.0,4249.0,4322.0,4385.0,4459.0,4532.0,4601.0,4660.0,4725.0,4797.0,4851.0,4921.0,4993.0,5051.0,5123.0,5192.0,5272.0,5334.0,5401.0,5477.0,5544.0,5619.0,5685.0,5742.0,5823.0,5890.0,5969.0,6030.0,7093.652,8062.652,8163.732,8243.732,8319.732,8387.732,8457.732,8537.732,8599.732,8651.732,8726.732,8784.732,8845.732,8907.732,8987.732,9056.732,9108.732,9175.732,9234.732,9294.732,9377.732,9431.732,9492.732,9549.732,9617.732,9677.732,9751.732,9814.732,9886.732,9942.732
146 64.0,124.0,202.0,280.0,331.0,385.0,455.0,527.0,604.0,668.0,737.0,809.0,861.0,933.0,1003.0,1063.0,1128.0,1199.0,1267.0,1336.0,1400.0,1458.0,1522.0,1601.0,1656.0,1731.0,1795.0,1872.0,1934.0,1997.0,2052.0,2123.0,2183.0,2246.0,2312.0,2383.0,2452.0,2518.0,2581.0,2647.0,2713.0,2768.0,2835.0,2889.0,2949.0,3021.0,3101.0,3174.0,3237.0,3303.0,3380.0,3441.0,3518.0,3582.0,3649.0,3718.0,3793.0,3858.0,3931.0,4011.0,4079.0,4143.0,4206.0,4279.0,4350.0,4420.0,4486.0,4552.0,4614.0,4679.0,4752.0,4820.0,4892.0,4952.0,5022.0,5091.0,5164.0,5224.0,5300.0,5380.0,5456.0,5524.0,5590.0,5645.0,5723.0,5787.0,5864.0,5928.0,5994.0,6062.0,7065.652,8024.652,8171.732,8259.732,8329.732,8390.732,8462.732,8524.732,8586.732,8657.732,8714.732,8770.732,8818.732,8881.732,8944.732,9025.732,9088.732,9146.732,9222.732,9288.732,9346.732,9409.732,9467.732,9533.732,9587.732,9659.732,9725.732,9791.732,9859.732,9924.732,9974.732
147 73.0,150.0,209.0,280.0,340.0,407.0,471.0,536.0,606.0,676.0,742.0,807.0,878.0,963.0,1014.0,1082.0,1148.0,1212.0,1289.0,1358.0,1432.0,1496.0,1556.0,1619.0,1687.0,1751.0,1812.0,1888.0,1941.0,2032.0,2098.0,2163.0,2234.0,2316.0,2379.0,2447.0,2510.0,2566.0,2628.0,2714.0,2772.0,2832.0,2889.0,2952.0,3016.0,3090.0,3155.0,3214.0,3282.0,3335.0,3398.0,3453.0,3505.0,3574.0,3638.0,3713.0,3776.0,3841.0,3903.0,3979.0,4047.0,4098.0,4165.0,4226.0,4288.0,4354.0,4403.0,4474.0,4533.0,4611.0,4677.0,4736.0,4804.0,4886.0,4948.0,5009.0,5081.0,5157.0,5223.0,5279.0,5347.0,5425.0,5485.0,5552.0,5618.0,5702.0,5778.0,5850.0,5914.0,5989.0,6061.0,7095.652,8173.732,8241.732,8311.732,8362.732,8440.732,8499.732,8558.732,8618.732,8674.732,8743.732,8809.732,8879.732,8942.732,9008.732,9075.732,9129.732,9181.732,9249.732,9321.732,9397.732,9471.732,9555.732,9616.732,9671.732,9731.732,9793.732,9865.732,9941.732
148 61.0,139.0,212.0,274.0,334.0,402.0,469.0,548.0,612.0,667.0,730.0,798.0,872.0,941.0,1006.0,1069.0,1130.0,1209.0,1279.0,1338.0,1417.0,1493.0,1574.0,1636.0,1701.0,1773.0,1826.0,1891.0,1960.0,2025.0,2102.0,2163.0,2227.0,2294.0,2352.0,2411.0,2486.0,2555.0,2621.0,2695.0,2759.0,2819.0,2881.0,2948.0,3013.0,3069.0,3131.0,3205.0,3266.0,3330.0,3403.0,3468.0,3519.0,3590.0,3662.0,3730.0,3788.0,3840.0,3903.0,3969.0,4052.0,4128.0,4191.0,4246.0,4314.0,4384.0,4453.0,4520.0,4599.0,4677.0,4755.0,4819.0,4878.0,4950.0,5014.0,5094.0,5159.0,5212.0,5281.0,5341.0,5383.0,5460.0,5532.0,5605.0,5671.0,5732.0,5784.0,5855.0,5923.0,5987.0,6055.0,7071.652,8077.652,8174.732,8234.732,8309.732,8373.732,8435.732,8506.732,8570.732,8634.732,8695.732,8755.732,8818.732,8882.732,8939.732,8998.732,9057.732,9116.732,9199.732,9280.732,9344.732,9401.732,9459.732,9525.732,9580.732,9655.732,9722.732,9793.732,9871.732,9933.732
149 75.0,149.0,209.0,275.0,333.0,403.0,472.0,515.0,574.0,631.0,691.0,746.0,809.0,875.0,935.0,999.0,1069.0,1149.0,1220.0,1287.0,1355.0,1425.0,1490.0,1543.0,1612.0,1680.0,1748.0,1808.0,1876.0,1938.0,2002.0,2064.0,2132.0,2202.0,2263.0,2328.0,2389.0,2452.0,2527.0,2593.0,2656.0,2733.0,2808.0,2868.0,2949.0,3006.0,3068.0,3134.0,3197.0,3278.0,3346.0,3411.0,3465.0,3531.0,3599.0,3663.0,3735.0,3804.0,3873.0,3935.0,3994.0,4051.0,4119.0,4197.0,4254.0,4320.0,4381.0,4445.0,4521.0,4599.0,4665.0,4728.0,4787.0,4858.0,4929.0,5003.0,5069.0,5147.0,5219.0,5287.0,5348.0,5410.0,5466.0,5533.0,5605.0,5667.0,5724.0,5785.0,5863.0,5926.0,5994.0,6061.0,7053.652,7987.652,8185.732,8254.732,8332.732,8400.732,8474.732,8534.732,8599.732,8667.732,8731.732,8788.732,8849.732,8916.732,8970.732,9043.732,9111.732,9190.732,9250.732,9311.732,9384.732,9453.732,9523.732,9583.732,9648.732,9721.732,9781.732,9850.732,9909.732,9977.732
150 54.0,127.0,201.0,267.0,315.0,388.0,461.0,542.0,608.0,690.0,750.0,827.0,881.0,929.0,994.0,1067.0,1132.0,1199.0,1273.0,1347.0,1421.0,1484.0,1547.0,1591.0,1667.0,1741.0,1815.0,1886.0,1963.0,2007.0,2071.0,2150.0,2227.0,2298.0,2355.0,2424.0,2507.0,2581.0,2649.0,2722.0,2781.0,2832.0,2889.0,2957.0,3027.0,3104.0,3172.0,3229.0,3299.0,3368.0,3429.0,3495.0,3563.0,3649.0,3710.0,3787.0,3857.0,3935.0,3989.0,4056.0,4115.0,4175.0,4236.0,4304.0,4376.0,4453.0,4521.0,4584.0,4653.0,4724.0,4790.0,4869.0,4952.0,5019.0,5099.0,5175.0,5249.0,5317.0,5385.0,5457.0,5511.0,5595.0,5660.0,5734.0,5792.0,5867.0,5938.0,6009.0,6066.0,7039.652,8032.652,8176.732,8244.732,8316.732,8381.732,8443.732,8507.732,8564.732,8627.732,8698.732,8768.732,8852.732,8927.732,8990.732,9047.732,9116.732,9181.732,9260.732,9315.732,9379.732,9446.732,9502.732,9576.732,9648.732,9703.732,9774.732,9838.732,9907.732,9973.732
151 69.0,118.0,185.0,252.0,322.0,385.0,454.0,517.0,579.0,657.0,720.0,798.0,864.0,937.0,999.0,1074.0,1144.0,1213.0,1275.0,1334.0,1396.0,1467.0,1539.0,1602.0,1662.0,1728.0,1800.0,1879.0,1945.0,2025.0,2080.0,2147.0,2209.0,2273.0,2338.0,2410.0,2481.0,2550.0,2613.0,2664.0,2728.0,2776.0,2837.0,2905.0,2965.0,3032.0,3100.0,3165.0,3245.0,3318.0,3383.0,3465.0,3525.0,3599.0,3662.0,3726.0,3787.0,3850.0,3917.0,3967.0,4052.0,4120.0,4192.0,4256.0,4326.0,4389.0,4458.0,4523.0,4595.0,4662.0,4721.0,4777.0,4840.0,4898.0,4969.0,5037.0,5098.0,5164.0,5235.0,5312.0,5393.0,5449.0,5515.0,5584.0,5646.0,5712.0,5784.0,5845.0,5906.0,5979.0,6045.0,7075.652,8066.652,8171.732,8236.732,8297.732,8365.732,8438.732,8494.732,8559.732,8623.732,8696.732,8776.732,8835.732,8902.732,8963.732,9021.732,9082.732,9165.732,9229.732,9291.732,9366.732,9433.732,9499.732,9574.732,9637.732,9704.732,9750.732,9821.732,9876.732,9936.732
152 59.0,117.0,161.0,225.0,288.0,345.0,411.0,478.0,546.0,607.0,661.0,723.0,788.0,858.0,924.0,990.0,1061.0,1135.0,1200.0,1283.0,1344.0,1427.0,1498.0,1573.0,1639.0,1696.0,1763.0,1818.0,1885.0,1956.0,2011.0,2078.0,2139.0,2214.0,2278.0,2335.0,2406.0,2481.0,2552.0,2625.0,2693.0,2753.0,2823.0,2880.0,2944.0,3007.0,3057.0,3115.0,3175.0,3241.0,3303.0,3367.0,3434.0,3503.0,3577.0,3654.0,3732.0,3787.0,3860.0,3930.0,3978.0,4045.0,4102.0,4172.0,4224.0,4288.0,4359.0,4422.0,4499.0,4573.0,4657.0,4725.0,4785.0,4851.0,4909.0,4985.0,5068.0,5157.0,5236.0,5298.0,5375.0,5431.0,5495.0,5559.0,5628.0,5700.0,5774.0,5837.0,5909.0,5971.0,6041.0,7075.652,8083.652,8168.732,8237.732,8307.732,8383.732,8448.732,8503.732,8576.732,8640.732,8705.732,8777.732,8850.732,8906.732,8977.732,9046.732,9106.732,9159.732,9225.732,9292.732,9348.732,9416.732,9490.732,9559.732,9630.732,9700.732,9779.732,9839.732,9891.732,9958.732
